Query,Answer,Label
What courses are offered in BSCS?,The hostel has single and shared accommodations.,5
Is there a student council?,The average fee is $5000 per year.,4
Is there a student council?,"12th grade mark sheet, ID proof, and photos are required.",0
Are online classes available?,The last date to apply is 15/05/2024.,0
Are online classes available?,"No, course changes are not allowed after admission.",4
How can I contact the admissions office?,"No, course changes are not allowed after admission.",1
How many classes are there each week?,The course starts on 01/08/2024.,1
What documents are required?,Candidates must have completed 12th grade.,4
When does the course start?,"Yes, there is an active student council.",5
What is the average fee for the course?,The hostel has single and shared accommodations.,5
Are admissions open?,"Yes, scholarships and fee concessions are offered.",5
How can I contact the admissions office?,The syllabus is available on the official website.,4
How can I contact the admissions office?,The course starts on 01/08/2024.,0
What documents are required?,"Yes, there is an entrance exam on 30/05/2024.",4
How can I contact the admissions office?,The syllabus is available on the official website.,6
Is there an entrance exam?,Classes are held from 9 AM to 5 PM.,3
Can I change my course after admission?,"Yes, admissions are open from 01/01/2024.",2
Is there a student council?,"12th grade mark sheet, ID proof, and photos are required.",2
Are there any fee concessions available?,"No, course changes are not allowed after admission.",2
What courses are offered in BSCS?,"Yes, the institute provides transport facilities.",4
When does the course start?,"Yes, the institute provides transport facilities.",2
What courses are offered in BSCS?,"Yes, online classes are available.",2
What courses are offered in BSCS?,"Yes, scholarships and fee concessions are offered.",5
Where can I find the syllabus?,The average fee is $5000 per year.,3
Are there any fee concessions available?,"Courses include Data Structures, Algorithms, etc.",2
Is there transport available for students?,"Yes, the institute provides transport facilities.",2
What is the duration of the course?,"Yes, scholarships and fee concessions are offered.",1
How many classes are there each week?,The syllabus is available on the official website.,1
Is there a student council?,Classes are held from 9 AM to 5 PM.,6
What is the average fee for the course?,The last date to apply is 15/05/2024.,2
Is there a student council?,"12th grade mark sheet, ID proof, and photos are required.",0
What are the hostel facilities like?,The course starts on 01/08/2024.,2
Can I change my course after admission?,"Yes, the institute provides transport facilities.",0
Are admissions open?,There are 5 classes per week for each subject.,2
What are the hostel facilities like?,The course starts on 01/08/2024.,2
Where can I find the syllabus?,Candidates must have completed 12th grade.,4
What is the average fee for the course?,The syllabus is available on the official website.,6
Is there a student council?,"Yes, there is an active student council.",0
Where can I find the syllabus?,Classes are held from 9 AM to 5 PM.,2
Is there a student council?,"Yes, online classes are available.",1
What courses are offered in BSCS?,"Yes, there is an active student council.",0
Are there any fee concessions available?,The syllabus is available on the official website.,3
Is there transport available for students?,"Yes, there are part-time job opportunities available.",5
How can I contact the admissions office?,There are 5 classes per week for each subject.,3
How many classes are there each week?,Classes are held from 9 AM to 5 PM.,0
Are online classes available?,Classes are held from 9 AM to 5 PM.,6
What documents are required?,"Yes, online classes are available.",5
What is the average fee for the course?,"Yes, there is an active student council.",6
How many classes are there each week?,"Yes, there is an active student council.",2
Where can I find the syllabus?,"No, course changes are not allowed after admission.",1
How many classes are there each week?,"12th grade mark sheet, ID proof, and photos are required.",5
How many classes are there each week?,"Yes, scholarships and fee concessions are offered.",2
Is there an entrance exam?,"Yes, there is an entrance exam on 30/05/2024.",6
What is the average fee for the course?,"Yes, there is an entrance exam on 30/05/2024.",2
Are there any fee concessions available?,The syllabus is available on the official website.,3
What are the eligibility criteria?,Candidates must have completed 12th grade.,3
What is the average fee for the course?,The course duration is 4 years.,2
Are there any fee concessions available?,The last date to apply is 15/05/2024.,3
Are there any fee concessions available?,The average fee is $5000 per year.,0
Where can I find the syllabus?,You can contact the admissions office via email.,5
How can I contact the admissions office?,"12th grade mark sheet, ID proof, and photos are required.",5
Are there any part-time job opportunities?,"Yes, scholarships and fee concessions are offered.",2
What documents are required?,"Yes, there is an entrance exam on 30/05/2024.",0
What are the class timings?,There are 5 classes per week for each subject.,6
Are online classes available?,The course duration is 4 years.,3
What documents are required?,The course starts on 01/08/2024.,2
What is the average fee for the course?,The course duration is 4 years.,4
Are admissions open?,The course duration is 4 years.,3
When does the course start?,The course duration is 4 years.,6
Are there any fee concessions available?,The syllabus is available on the official website.,6
What are the eligibility criteria?,You can contact the admissions office via email.,1
What courses are offered in BSCS?,"Yes, there is an entrance exam on 30/05/2024.",3
Is there an entrance exam?,"12th grade mark sheet, ID proof, and photos are required.",0
What documents are required?,Classes are held from 9 AM to 5 PM.,2
Are admissions open?,The syllabus is available on the official website.,6
What is the average fee for the course?,"Yes, there is an active student council.",3
What are the hostel facilities like?,"Yes, there is an active student council.",6
What is the average fee for the course?,"Yes, there is an active student council.",1
When does the course start?,Candidates must have completed 12th grade.,6
Are there any part-time job opportunities?,The syllabus is available on the official website.,2
When does the course start?,"No, course changes are not allowed after admission.",6
How many classes are there each week?,"Yes, the institute provides transport facilities.",5
Is there transport available for students?,The syllabus is available on the official website.,0
Are there any fee concessions available?,The course duration is 4 years.,5
What documents are required?,"Yes, the institute provides transport facilities.",3
Are admissions open?,You can contact the admissions office via email.,0
Are admissions open?,"Yes, there is an entrance exam on 30/05/2024.",4
Can I change my course after admission?,The hostel has single and shared accommodations.,6
Are online classes available?,"Courses include Data Structures, Algorithms, etc.",2
Are there any part-time job opportunities?,There are 5 classes per week for each subject.,1
What are the eligibility criteria?,The average fee is $5000 per year.,5
What are the class timings?,"Yes, there is an entrance exam on 30/05/2024.",6
What are the hostel facilities like?,The course duration is 4 years.,0
Is there an entrance exam?,"Yes, there is an active student council.",1
What is the average fee for the course?,"Yes, there are part-time job opportunities available.",6
How many classes are there each week?,"Courses include Data Structures, Algorithms, etc.",1
Is there an entrance exam?,"12th grade mark sheet, ID proof, and photos are required.",0
What documents are required?,Classes are held from 9 AM to 5 PM.,5
Is there transport available for students?,The last date to apply is 15/05/2024.,6
How many classes are there each week?,Classes are held from 9 AM to 5 PM.,1
What are the hostel facilities like?,"Yes, scholarships and fee concessions are offered.",1
When does the course start?,You can contact the admissions office via email.,4
Are online classes available?,"Yes, there is an entrance exam on 30/05/2024.",6
Is there a student council?,The last date to apply is 15/05/2024.,6
What documents are required?,"Yes, there is an active student council.",5
What are the hostel facilities like?,"No, course changes are not allowed after admission.",0
What courses are offered in BSCS?,The course duration is 4 years.,5
What is the average fee for the course?,The last date to apply is 15/05/2024.,2
What is the average fee for the course?,"Yes, admissions are open from 01/01/2024.",0
How many classes are there each week?,There are 5 classes per week for each subject.,2
What documents are required?,There are 5 classes per week for each subject.,3
What courses are offered in BSCS?,"Courses include Data Structures, Algorithms, etc.",6
What is the last date to apply?,"12th grade mark sheet, ID proof, and photos are required.",0
